
Loren B.,4.0,        9/4/2018    ,"In the past five years, I've flown 12-17 trips on AA per year, with a few exceptions during which I've flown other airlines for scheduling and occasionally price reasons. Those other experiences have sent me back to American Airlines for their superior service, comfortable planes, and solid pricing.On the DFW to SFO trips, American's prices are consistently the best when buying 4-6 weeks prior. And, the few times they weren't, I went with United, whose planes are older and louder. American's terminals are updated in all the airports I've flown into, which cannot be said for all airlines. Other small things that add up are American's granting of the entire can of soda without asking (United flight attendants looked judgingly at me when I asked for it). And the flights I take always have in-flight entertainment systems at each seat. Flight attendants are typically upbeat and friendly, though once in a while someone seems to have had a long day.Ticket and gate agents are champs. I've been on delayed or cancelled flights and watched them take abuse from passenger #59 in a line of 111 and remain professional. The only real negative experience I ever had was the ""lost bag"" process. In my case, the guys behind the desk were worse than inefficient. The length of time they took explaining the obvious to each person bordered on inconsiderate.I have friends who swear by Southwest. And I get it. I think for me I just prefer an assigned seat and a free checked bag with my AA Citi Credit Card. I'm a loyal American flyer. Recommended!"

Joe C.,1.0,        8/20/2019    ,Never again will i fly this line! No wonder they are all over you  tube and the news! Safe the money and hassle !

Yan C.,1.0,        4/15/2019    ,Garage airlines ! Do not fly they will leave you behind schedule you for next morning and make you sleep like dogs on floor and even give you snacks ! Legit worst experience ever ! Don't ever fly American Airlines ever again ! Unless if you want to be lied to and sleep on mcdolands floor with out pillow or blanket ! Legit jail cell!

Nadia G.,5.0,        1/9/2019    ,I had a very good experience with American Airlines yesterday. Flew from San Diego to Fort Lauderdale via Dallas. Both planes were right on time and arrived early. Staff were very nice.

Joa S.,1.0,        6/21/2019    ,"You can feel it. When companies start to spiral downward the feel with their people and service becomes visable. Not happy faces, cruddy service; lack of attention to details.  There are all the associated ""issues"" and ""concerns"" that start becoming more frequent.. to the point of it being the norm as to the exeption.This review was written based on a flying experience we had with American Airlines (AA). On a two leg flight from Bahamas to Phoenix we experienced the following: · As we approah DFW airport the pilot came on the speaker and said there was bad weather at the airport and planes were being diverted; would update as we got closer. 20 mins before arrival. Informed we are in a holding pattern.  Wait... yep... diverted to Austin not enough fuel to hold!· Land in Austin and are informed we cannot get off the plane... international flight. So, we proceed to sit on a plane on a 95° tarmac for over 2 hours with no AC or moving air. Sweltering heat. They won't even let us come to the gate. Couple100 passengers sweating, panting, coughing, farting in an airtight aluminim tube for over two gours Ugh. Ugly! Flight attendants came by ONCE with water.· When those whose final destination asked if the could get off they were informed a manager was coming. Over an hour later the weeny manager FINALLY arrived and was a complete insensitive jerk treating passengers like cattle. Fill out forms. Wait. More paperwork.  No apologies. They did get off... eventually.· Finally a flight back to DFW. Get off stinky plane. By then the AA line to customer service was well over 1,000 people long.  We look at a flight board and our flight to PHX said is was delayed until 1:20am but now at Gate D38, not A18. Gather luggage. Trek to D38 via airport skytrain and long walks. We get there. 10 minutes later... gate changed back to A18 and time moved up to 11:00pm. Okay... hurriedly back to Gate A18. Get there and {{{wait for it...}}} then the flight get cancelled 45 minutes before departure.· Looking at the now much longer AA Customer Service line (1,200 people??? - line runs from Gate A12 to New Mexico I think) my GF stands in line and we hear peeps getting resecheduled two days later. GF gets in line (now seving #5... our number #2,567,894) I nap and later trade off eith GF but I see a gate with a flight departing to Tucson (120 miles from PHX). The flight agent (very nice lady), had some total A-hole gone off on her. I step up and said I bet her day had gotten ""interesting. She smiles and thanks me for caring.  I ask if we could get on. She said she'd check. The AA system had basically almost all but shut down. She said she would just put us on a stand by list.. no fee.  Woo hoo!· Go ""stand by.""  End up being #11 & 12. Peeps don't answer when called. WE get last two seats! Quickly get on plane.  THEN {{{wait for it...}}} we sit on the plane at the gate for well over an hour with no AC or air (see above experience in Austin... especially the farting with guy behind us... OMG! ). They FINALLY get a mechanic who turns on AC to cheers. Then, after 15 minutes you could hang meat in this plane. Brrrr! Oh... did I mention why we were waiting???  No pilots!  Finally...  we get two pilots and off we go.· Just to finish the story we ended up landing in Tucson around 3:15am. Get an Uber ride from Tucson to Phoenix ($175).  Drive up to house at 6:15am 11 hours after estimate arrival.Now... if you have read this far the reason why I wrote not is not to bitch about weather related travel delay. Nope. Good to be safe. I understand glitches and issues that arise out of unforeseen circumstances.  Here is the rub:· Why wasn't there a protocol to care for the passengers on the tarmac in Austin. I felt like a prisoner. No AC, no gate, no water. HOT!!· Why did AA bring on extra peeps to help customers get home. Understand AA has no responsibility to get you a room or food due to weather delays.· Why did they load 100's of passengers onto a plane with no AC and NO PILOTS!! ... and make them wait with no AC, water, etc.This is a multi-BILLION dollar company!!! This is NOT their first rodeo at a weather delay. At their biggest company airline hub  (DFW) ANY delay is going to cause the domino-ripple effect. AA's handling of both customers, caring for their welfare, and having a handle on the technology and logistics should be FAR better.  TOTALLY CRAPPY EXPERIENCE. I expected FAR better. Sad they chose the pursuit of money over caring for people who trust them to get them to.their destination, step up and communicate, to be prepared and basically care.You can see it on their faces and the way they treat their customers.  Never again AA unless absolutely necessary."

Monica M.,1.0,        6/19/2019    ,"Yep, have mostly been flying Southwest lately. Just American a few times in the last year.I have flown  (I used to travel American all the time). I booked a flight today for tomorrow and about 7 hours after that (and 3.5 hours after I received check in notification), they cancel my flight!! Then try to claim that there is bad weather in Dallas tonight, so they are canceling a flight tomorrow afternoon.1. No bad weather tonight but a Watch for possible bad weather. Still nothing so far. This was the claim by American for the reason the flight was canceled. Possible bad weather tonight. 3. Did they cancel all of their flights going out or flying in because of possible bad weather? NO! 2. What does that have to do with a flight leaving tomorrow AFTERNOON?!So don't lie to your customers! If the flight was canceled because it was undersold, then tell the truth! American Airlines - making Southwest and Delta, the only reliable airlines to fly."

Erin C.,5.0,        8/27/2019    ,I needed medication from my bag because of delays and it had been checked at my previous leg of the journey. Matt and the people at gate c38 went out of their way to help me and were kind and patient the entire time. The customer service was amazing and something you don't see anymore. I can't say how much I appreciate the help I was given today.

John M.,1.0,        5/16/2019    ,Plane lateEither back the damn plane up and start the engines or fix the damn APU. In either event get the damn AC going!#AmericanAirlinesSucks

Shirley R.,5.0,        4/19/2019            Updated review,"I am in the hopes to having the correct ""American Airlines in Dallas""I just spoke with a VERY NICE lady by the name of Jacinta. I want to just say THANK YOU!!  for your  PROFESSIONALISM, andyour PATIENCE with resolving my concerns. I had other questions and with NO hesitation she assisted me with them as well. She did NOT try to transfer me, did not try to get me off the phone nor did she provide me with other phone numbers for me to figure out on my own. She resolved every concern I had. That my friend is EXCELLENT customer Service!!! WAY TO GO JACINTA, KEEP UP THE GOOD WORK!! It makes me happy to see that someone takes pride in their job. American Airlines!!! This is the kind of person that customers look forward to speaking with when calling your company. Thank you Again!! JACINTA!! Shirley"

Brett J.,4.0,        1/26/2018    ,"Now this is the way to fly!I was group 7 to board and yet there was more then enough room for my bag! Might be because there was only 50 people on this plane...It was a new plane equipped with outlets at every seat, WiFi, and entertainment in the form of on demand TVs! Loaded with shows, games, movies, music, and more!There was plenty of room, I don't think I had another person within 3 rows of me. Only complaints: 1 this flight was only 35 mins long... all these amenities and no time to enjoy them.2 when did we become subject to sales programs on planes! There was a Credit card sales pitch for about 10 mins of my 35 min flight! Do I have to pay extra for the commercial free flight? I don't like commercials during my TV shoes or my radio listing time... I sure as heck don't want them during my flight!"

T D.,1.0,        8/10/2019    ,"Our flights to Dallas and then grand junction from jacksonville were ok, I'd say about what to typically expect.  However our flight back home was terrible.  Our flight was delayed by an hour with a customer care agent stating that it was likely mechanical issues causing a delay.  Later we and other passengers were being told the plane should be in the air on it's way to grand junction, but that for some odd reason it was still in dallas on the ground.  By the time the plane landed to get us, it was already too late for us as well as many of the other passengers to catch our  connecting flights.  Now the flight itself was pretty bad getting to dallas, but that's not why I'm leaving a 1 star review.  I dont know anything about piloting and therefore dont believe I'm qualified to guess as to if anything could have been done about the turbulence and angles the plane was flying, all I know is I've never been sick on a flight before and this one made me feel very ill.   Once we landed we had to explain to a truly nice lady at the customer service counter how we missed our connecting flight by 7 minutes because of our first flight being delayed by an hour.  Btw, our connecting flight left 7 minutes early.  So even had we landed a few minutes earlier, we still would have missed it.  Now the nice lady at the counter did her best to help us get a hotel voucher, it just took her about an hour to do that.  Then the mess started with the hotel.  I dont know if the voucher was just for the cheapest hotel, but we were told to stand outside and wait and the shuttle would pick us up within 10 minutes.  20 minutes later, in the hot humid sweaty air, I called the hotel and was told the shuttle would be with us in less than 5 minutes.  Another 15 minutes goes by and I call the hotel and I'm told 5 minutes again.  It took over 20 additional minutes, almost an hour for the shuttle to show up.  Then on the way to the hotel the driver kept looking at his phone reading text while driving.  Now we are going to get a few hours sleep before needing to head back to the airport.  We should have stayed at the airport and not bothered with the hotel at this point.  I know american airlines cant control the hotel, but maybe if you offer a voucher, you shouldnt put your customers up in a 1 star hotel that has awful service.  I mean the doors cant even close properly in our room since furniture isn't even put together properly.  I would never expect anything spectacular, we're not paying for the room, but I would expect the hotel to have decent service.   Simply saying that a driver is running behind and may take longer than normal would have worked wonders on our patience instead of having us wait nearly an hour and becoming drenched in sweat while we dont have access to our checked luggage.  Bottom line, I dont believe my wife and i will be using american airlines again unless we dont have a choice, and even then we may just choose to drive."

Ibrahim K.,1.0,        6/19/2019    ,Just make sure they put the right tag on your carryon else you'll never be able to pick that up at your destination!!! (You've got one job)

Kevin B.,1.0,        4/28/2018    ,"Flying from Tampa to Honolulu and had 11-hour layover in DFW. Because of long layover American only checked my single checked bag to Dallas.Had to exit the TSA secured area to claim my bag....then there was literally no-one at American Airlines to recheck my bag...While I could have easily stayed in the secured area comfortably - outside the secured area the airport is spartan with little seating and tile floors. Not conducive to relaxing, sitting or sleeping. And very busy except for the American counter..,Basically forced to stay in a local hotel due to poor policies. And with the NFL draft in Dallas for the week finding and getting to a hotel took hours of frustration and $$."

A D.,1.0,        6/3/2019    ,"Another ""maintenance"" issue.  Was going to take 20 minutes, but they are working on ""paperwork"".  We are over two hours into this debacle now and maintenance crews are non responsive.  Had to de-plane and everything.  We'll see how this progresses.  UPDATE:  New departure time is 12pm for a flight that was supposed to leave at 8:47am.  Again, this was a ""20 minute"" maintenance issue.  Transparency would be nice in situations like these.UPDATE 2:  They found us a new plane!  Yay!  But guess what?  Now the pilot and crew are over their allotted hours and cannot fly.  New departure time?????   You would think they would have anticipated that the crew would be over hours.  Brutal!  Completely brutal!  I could have predicted this.  Not the first time it has happened and won't be the last.UPDATE 3: We have maintenance paperwork on this plane now as well.  Wondering if this is the mechanics union's deliberate slowdown of work to force American's hand to negotiate contract terms?  New departure time of 12:55pm.  4hr maintenance delay.  See link to article regarding purposeful maintenance slowdowns.  onemileatatime.com/ameri…UPDATE 4: Clerical error on a maintenance form.  New departure time of 1:15pm.  Again, please view article link here.  Two mechanical delays on two different aircraft!  Seems absurd and unlikely!  Hulk angry!  onemileatatime.com/ameri…"

Chris B.,1.0,        10/20/2018    ,"Terrible. I will never fly this airline again nor will myCompany which has a large travel budget. I understand delays and other issues but they way they consistently mistreat and ignore their customers is insane. After missing my connection because ""we forgot to fuel the plane delay"" the customer service rep at gate c25 told me he can not help me, cAnt give me a credit for my first class ticket since I now was flying coach. I asked for a manager he said no. I ask for his name, he put his hand over his badge and left. You have a culture problem that must start at the top. This is the second time your reps gave acted this way in three week. If anyone at American cares, contact me and I will give you the agents information."

James D.,1.0,        5/20/2019    ,AA continues to nose dive. Just when I think it cannot get any worse they pull another bone head move. Flight delays are just the norm these days. Service is embarrassing.

Michael S.,1.0,        5/18/2019    ,"Worst airline in the us. I will never fly AA again. Terrible customer service, systems and agents. They don't care about their customers. Sat at gate for 40 min in 100 degree heat and humidity without starting engines leaving passengers to bake. They suck."

Casey D.,4.0,        10/1/2017    ,"These Airlines Ain't LoyalI used to be such a staunch supporter of Frontier Airlines, but they broke my heart time and time again. Overpriced and underappreciated, I decided to look elsewhere. I ""landed"" at American Airlines. I have to say, I have been really happy with them overall. The fights are usually on time, the prices are reasonable, and the service is good. I would give them 5 stars if it weren't for the $25 charge on checked baggage. That adds up quickly."

Jeanne F.,1.0,        3/14/2019    ,With out a doubt the worst airline. They do not even offer an inflight snack. I asked for water n was given a plastic cup no ice. They offered food at a charge. $9.00 for fruit? Paid $19 for WiFi that never worked. Flight attendants are not helpful and pretty rude. Can't say I blame them . I can see how American treats their customers I can only imagine how they treat their employees. Jet Blue for me from now on. Seriously I'd fly spirit before AA again

Chris G.,1.0,        2/7/2018    ,"First, I have to say I had flown AA for 25 years, accumulating over 2 million miles.  I was platinum until they started the executive platinum and was then EP up until the year before I switched to United.  I was also concierge key from the start of that program.  For most of my 25 years I would give AA between 4-5 stars.  After the US Air merger they went to 1 star.The year before AA merged I was on a special project at work and only flew 70,000 miles.  So understandably, I lost my EP status and concierge key.  The next year I flew 20-25 segments and never once got ""pre-check"".  I called and AA said ""its not us"" and that's its random (20-25 times in a row is not random...its a trend), so I called TSA and they said it couldn't be them.  AA was extremely rude when I questioned them, even going so far as to say I had problems.  I got pre-check on every other airlines I flew that year...hmmmm.  this may seem trivial, but any FF would understand.The next issue was service.  once you loose EP and key, its like you're on the cattle car. now, their are thousands of great people at AA and over the years I've met many of them.  I'm not picky and never get upset with delays...that's not in control of the person in front of you. what is in their control is the decision to be rude or not.  In 35 years of air travel, I've never raised my voice with an agent...ever!  So I expect the same.So united offered me a status swap and have only flown AA once or twice in three years.  interesting that I never received a call or email on what happened.  And, I'm flying at the highest level again on United.  The good news for AA, my son is Executive Platinum on AA.  so they win :)"

Dawn C.,5.0,        12/28/2018    ,"On December 26, I was flying from ABQ to Dallas on Flight # 2420. Everything was going fine until we heard that Dallas had a very large storm going through and parts of DFW Airport were closed. Our airplane circled for a while but then got diverted to Longview, Texas. It was a full flight and not the best of circumstances. The flight attendants jumped into action and were incredible! We sat on the tarmac for many hours - but the stewards and stewardesses never sat. They worked constantly - trying to get water and food to those that needed it along with helping passengers who had special needs. While on the flight, I had a medical problem and the attendants were quick to help me. Jeff was a leader and very caring - checking on me multiple times. I felt like I received excellent care (under the circumstances). The flight attendants were an American Airlines ""dream team"" through-out the 11 hour trip. (even ordering pizza for the passengers - because the airport didn't allow us to de-plane). I wanted to acknowledge the team of flight attendants (stewards/stewardess) that made a difference on flight #2420 - and showed why American Airlines is a WINNER - Jeffrey Abney, Anna Thomasson, Ally Durant and Akiko Yoshino. Thank you, Dawn Carmichael"

Constance R.,1.0,        5/4/2019    ,"This is a most unreliable airline.  They left my bag when I was enroute to Jackson Mississippi.  Did not see the bag in24 hours. There was no weather involved  just sloppy baggage handling.  On the return. They kept hundreds of us at the airport waiting for a flights to Seatttle. First it was a gate change  then several delay messages from 2:00 to 10:30.  They cancelled the flight at 10:35.No rationale given, no vouchers and it was too late to book any other flight for the night on any other airlines.  Buyers Beware!I had a similar incident last year and thought it was an exception.  Now I know it's their consistent business practice.  Shoddy and rude..."

Howie K.,1.0,        1/18/2018    ,"Because I'm reviewing the company at large, rather than my experience with our local Albuquerque Sunport hub, I'm reviewing where the company is headquartered, in Dallas. Look, I know I'm in the vast majority, here, complaining about hidden costs, but guys, you've permanently lost a customer. American Airlines is Exhibit A when it comes to contemporary air travel experiences: dirt cheap tickets upon first glance, but mid-to-high-cost after you incur additional charges. Years ago, travelers were rather shocked when airlines started charging fees for baggage; now, American is charging extra literally for everything: aisle/window seats, leg room, and permission to use the overhead bins. I realized this 24 hours prior to my last roundtrip flight, when I was asked to choose my seat, online. Everything's an upcharge -- everything. That $350 ticket, with the baggage and seating fees, easily breaks $450, putting the company in line with companies offering far more comfortable seating, free wifi and often, better flight options. Man, I keep harping on that legroom issue...Because the woman sitting next to me, from St. Louis to Dallas, asked me several times whether she was imagining this. ""I don't think I've ever been this sandwiched on an airplane before. Have you? Look at my knees -- look at your knees -- we're shoving the seat in front of us. I'm not a tall person, I can't imagine what this must be like for them. But I guess this is where we get stuffed when we're not willing to pay extra for the other seats. I'm literally stuffed in, here."""

Kevin M.,1.0,        2/19/2019    ,Worst customer service...rude lady made us take a flight 3 hours later despite having a boarding pass and arriving at the airport an hour before flight.  9once on the later flight I was forced to sit next to a 90 pound dog that took over my entire leg and foot space.  I am highly allergic to dogs and now cannot breathe and have been nonstop

Jenn B.,4.0,        4/2/2018    ,This airline has been pretty well behaved as of late. I love flying out of DFW (my home base) because it's really pretty easy to navigate around and there are plenty of food and shopping options. Since American is based here they dominate this airport. So they are the easiest carrier to utilize from this area.

Michelle P.,2.0,        1/5/2018    ,"How many different cities can I have a review in expressing my disdain for American Airlines? Well, now we can add Dallas-Fort Worth to the list. I feel like American Airline is a big bully, and they know it. They have a decent chunk of market share in major hubs, with a frequent flight schedule. Aside from the bargain airlines, their fares are competitive as well. On this trip, I swore I'd never fly with them again, but that would be a lie based on the conveniences listed above. This trip's vulnerability spot surrounded our carry-on bags. I felt all they wanted to do was take my bag away from me, and didn't care about the inconveniences it caused. I mean, why would they care about one customer in coach's happiness? They know people will continue to fly with them, despite any negative experiences based on their heavy presence. In reality, there was a generous amount of space in the overhead cabins AND my carry-on fit. Couldn't they have just let me bring my bag on without a fight? Everything else was standard with flying on any airline. This might have been me being cranky, but the flight attendants seemed extra fake and not too concerned about customer service. I will begrudgingly fly on American Airlines again, but nothing will stop me with leaving another review from another city."

Michael M.,3.0,        4/4/2018    ,"Nice boarding procedure, airlines are allowing to many carry On s, it's getting ridiculous.Feel sorry for the flight attendants."

Stacy F.,3.0,        12/7/2017    ,"A-Ok seating and gate area for an airline. They have a decent number of plugs and outlets for charging phones / tablets / laptops, etc. It was decently clean, with a couple areas that could have used a bit of attention, but not a big deal. I would say that there could have been more seating overall, since it was overcrowded when the boarding time approached, and many people were left standing. This is fine for most, but if you have anyone needing seating, it may be bad.They are easy to find in the airport overall with signage in various areas. The gate numbers are large and clearly visable.Overall: BA couple areas of improvement would up this another star, but pretty standard overall."

Jon H.,1.0,        4/13/2019    ,"If I could do less then one star I would. Worst airline of all time. I would rather fly southwest. Delayed all day until 10 pm then it got canceled, because they couldn't find another flight attendant. If you like sitting in 8 hour lines to get a new flight because of incompetence, and poor planning this is the airline for you. Make sure to book American Airlines so you can be reminded that driving is more cost efficient and with this airline quicker then flying."

Dani S.,1.0,        11/29/2017    ,"This airline just keeps impressing me with how crappy they are!! Terrible passenger treatment and extremely strict policies.So I fly all the major airlines in America pretty regularly and have to say AA is just as bad as United if not worse! I was flying back home from a trip and during my return flight my coworkers contacted me about an emergency situation at work that required me to get home slightly sooner. So I asked about standby on the 2nd leg of the flight on an earlier flight. AA refuse to let me go standby, they would however sell me a $400 one way ticket for a normally $100 flight. They also refuse to do same day confirm. I've flown with many other carriers and have done both standby and same day confirm and all very recently. Did that with Alaska just last week. To add, the seats on the plane I took did not recline because it was broken, entertainment system did not work after rebooting multiple times. We were told that there's nothing they can do! AA is simply out to make more and more and more money, forget about customer service or passenger rights or basic comfort. They just try to squeeze every penny of profit."

Bill Y.,1.0,        5/31/2018    ,"This review is based upon the performance, or rather non-performance, of AA's corporate customer service office, not their in-flight or check-in service.I paid a rather substantial sum to fly first class across the country on AA.  During my return flight, a brown liquid started dripping down on me from the luggage space above.  I notified the flight crew, who opened the compartment and found it awash in the liquid.  My backpack, which had been pushed to the back of the compartment, was soaked, as were all my belongings inside.  The flight attendants were quick to apologize and clean things up. Unfortunately, the flight had already departed the gate so they couldn't do much more than that.  I had no way to clean up my stuff, so I had to sit and wait for the end of the flight.  When we arrived in Dallas, the flight attendants told me to see the AA clerk at the gate to see how I could seek compensation.  I did so, and was told that I needed to email AA customer service and tell them the details of my flight, and that they (the attendants) could verify my story.  My pack was literally dripping, and keep in mind that although the crew guessed it was soda, nobody knew, so I had a pack and belongings soaked with unidentified brown liquid.  As I had no way to clean or dry it, and had no idea what was on it, I threw it in the trash, along with my clothes inside, and put my stuff in a plastic bag I begged from a restaurant in the terminal. I then wrote my email to AA Customer Service, as directed, while waiting for my connecting flight.  AA responded 8 days later, telling me to send them the bill for the professional cleaning of my items.  I told them that 1) nobody told me to hold onto my soaked belongings and have them cleaned (even if I had been told that, who wants to carry a brown-liquid-soaked bag on their back?), and that 2) I'd like cash compensation to buy a new bag of similar quality.  The AA response was that it ""wasn't their fault"" that the luggage compartment was full of liquid, it was the fault of a customer. I found this incredible.  I mean, does AA have no responsibility to check their aircraft for cleanliness and hygiene?  If a prior customer had thrown up in their seat and I sat in it on the next flight, would that also not b their fault?  I was offered a $100 voucher to use on another flight within a year.  Now, if you know anything about these vouchers, you know that the airlines love using them for compensation because very few are ever used in time.  Even if a customer can afford to fly often, why would they want to go back to an airline that failed them in terms of service?  When you consider that a first-class ticket is about 3 times the cost of an economy ticket, you'd think AA would spend 50 bucks to hold onto a customer.  I never thought I'd see the day that I'd consider going back to United, but I am now."

Brandi P.,1.0,        11/15/2017    ,"It is 11/15/17 and I am on flight 315 from Dallas to San Antonio. These are the rudest people working this flight...every single 1 of them has been so belligerent and disrespectful to passengers. One attendant was yelling for everyone to sit down but people were still boarding. The gentleman standing in front of her (as she is yelling in his ear) explained he could not move because of people trying to take their seats. She said ""I KNOW THAT, DONT YOU THINK I KNOW THAT!!!""We were still waiting for everyone to take their seat and another attendant walked up to a passenger on their phone and said really loud into his face, ""BYE BYE, GET OFF YOUR PHONE!""  There had not even been an announcement to not use phones. People were still boarding!!!I asked for headphones and you would have thought I asked for a lit cigarette!THIS IS RIDICULOUS!!!"

Keith W.,1.0,        7/7/2018    ,"This airlines never fails at disappointing me and today's misfortunes is now the tipping point of me finding another airlines. We were excited about a well deserved vacation with my family.  While we were able to use our points, it was only available at the worst flight times for the points. Well, the day comes and we board the aircraft, guess what? Delay, then another delay, then another delay that would make us miss the connection to Key West. The final delay pushes us to leaving tomorrow and cutting the vacation a day. Also, they offered a separate line for their business class travelers, but not their status level passengers. I have been on the fence as far as getting another carrier for business and this is now the last trip that I will take on this horrible airline. If I have to drive to Houston just to fly United or Southwest, so be it. Customer service terrible. I am done.Part Two: After completely loosing a day on our vacation, we arrive back for our flight and guess what, more maintenance issues and another delay. We have now missed the third flight from Miami to Key West and if we are lucky, we may get the 5:40 flight. This is completely unacceptable. I would advise anyone to stay away from American Airlines. Totally Unacceptable!"

Garry H.,2.0,        3/26/2018    ,"Am I allowed to say ""you suck""? Your seats are designed for the skinny America that no longer exists. My knees are still sore from the reclining seat in front of me. But that's ok, he got to recline. It's not his fault I have long legs. Let's move on to baggage claim and get what's left of my suitcase. One wheel is broken off, the zipper is busted, and my lock is gone. And all in one flight. Damn, you guys are good. I was third in line to make a claim. Imagine that! Mr. Houston, we will call or email you about your luggage. Yes, I'm still waiting. 2 stars cause we didn't crash! Good job!"

